"description","category","subcategory","merchant","amount","is_expense"
"Domain renewal","Business & Work Expenses","Website Hosting & Domains","iBiz Africa",464.5,1
"Somali lessons","Education & Learning","Educational Subscriptions","Umma University",185.31,1
"Tiba session","Health & Fitness","Mental Health Therapy","MP Shah Hospital",531.97,1
"Dawa haraka","Miscellaneous & Unexpected Expenses","Emergency Expenses","Overdraft Fees",634.31,1
"Jumia food kit","Food & Dining","Meal Kits & Subscriptions","Kijani Hotel Restaurant",603.23,1
"Lipstick pale nude","Personal Care & Grooming","Skincare & Cosmetics","Gold Touch Beauty",428.54,1
"Glasses repair","Health & Fitness","Vision Care","Nazareth Hospital",848.74,1
"KRA e-filing","Legal & Professional Services","Tax Preparation Services","Immigration & Visa Lawyers Kenya",495.84,1
"Chips funga","Travel & Vacation","Hotels & Lodging","Wasili Kenya Safaris",956.03,1
"Silver pendant charm","Shopping","Jewelry & Watches","Machakos Junction Mall",716.17,1
"Matatu fare","Transportation","Taxi & Ride-sharing","Super Metro",65.89,1
"NTSA sticker renewal","Transportation","Vehicle Registration & Licensing","Maersk Logistics and Services Kenya Limited",559.36,1
"Umeme Stima","Utilities","Electricity","Kenya Petroleum Refineries Limited (KPRL)",576.34,1
"Dog food kilo","Shopping","Pet Supplies","Lavington Mall",385.82,1
"Pension contributions","Legal & Professional Services","Financial Advisors","Oil,Gas & Energy Law Kenya",196.58,1
"Waste Management & Recycling purchase","Utilities","Waste Management & Recycling","Kenya Petroleum Refineries Limited (KPRL)",911.72,1
"Late library book","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",815.06,1
"Bodaboda cover","Business & Work Expenses","Business Insurance","iHub Kenya",159.6,1
"Zumba class fee","Health & Fitness","Fitness Classes","Nairobi South Hospital",511.6,1
"Beba stuff","Housing & Home Expenses","Moving & Relocation","Lloyd Masika Limited",523.13,1
"Nyumba kodi","Income & Earnings","Rental Income","Pension & Retirement",711.75,1
"Business permit fee","Legal & Professional Services","Licensing & Permits","MMC Asafo Law",653.55,1
"Pills za paka","Pets & Animal Care","Pet Medications","Guard Dog Training Kenya",221.66,1
"Chapati takeaway pale","Food & Dining","Takeout & Delivery","The Arbor Restaurant",957.41,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","Chloride Exide Kenya Ltd",427.52,1
"Website Design Fees","Income & Earnings","Freelance Income","Refunds",466.87,1
"Birthday zawadi","Income & Earnings","Gifts Received","Salary",52.89,1
"Logbook transfer fee","Transportation","Vehicle Registration & Licensing","PTG Travel",479.86,1
"Mbwa dawa","Pets & Animal Care","Pet Medications","Mobile Vet Services Kenya",645.32,1
"Dog food kilo","Shopping","Pet Supplies","LC Waikiki",667.37,1
"School Fees & Tuition purchase","Childcare & Parenting","School Fees & Tuition","Parenting Support Groups Kenya",506.46,1
"Late library books","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",639.36,1
"Tiba ya goti","Health & Fitness","Physical Therapy","Revitalize Wellness Center",929.71,1
"Tyre puncture repair","Miscellaneous & Unexpected Expenses","Emergency Expenses","Repairs",288.27,1
"Pilau for Abbas","Business & Work Expenses","Client Meals & Entertainment","Chandaria Business Innovation and Incubation Centre",425.29,1
"Kids fees","Childcare & Parenting","Daycare & Preschool Fees","MP Shah Hospital Pediatrics",36.82,1
"Sofa set safi","Housing & Home Expenses","Home Cleaning Services","National Housing Corporation",552.57,1
"Termite treatment done","Housing & Home Expenses","Pest Control","Jumbo Chem Kenya Ltd",146.78,1
"Watoto support","Gifts & Donations","Charitable Donations","Médecins Sans Frontières (Doctors Without Borders)",281.2,1
"Aroma therapy session","Personal Care & Grooming","Spas & Massages","Maya Organics",381.06,1
"Kibbles and leash","Pets & Animal Care","Pet Toys & Accessories","Pet World Kenya",65.34,1
"Shamba rent","Income & Earnings","Rental Income","Investment Income",528.24,1
"School shoes","Childcare & Parenting","Children's Clothing & Shoes","Huggies Kenya",288.06,1
"Movie subscription","Leisure & Entertainment","Streaming Services","Hot 96 FM Kenya",212.55,1
"Bodaboda fare","Transportation","Vehicle Leasing & Rentals","Kenya Railways Corporation",673.09,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","Trident Insurance Company",236.51,1
"City council permit","Legal & Professional Services","Licensing & Permits","Muthoga Gaturu Advocates",367.13,1
"Professional Services purchase","Business & Work Expenses","Professional Services","eCitizen Kenya Business Portal",106.17,1
"Airtime top-up","Business & Work Expenses","Business Travel Expenses","G4S Courier Kenya",177.74,1
"Passport holder","Travel & Vacation","Travel Accessories","Kopje Tops",749.81,1
"Shuka mpya","Shopping","Sports & Outdoor Equipment","Kiambu Mall",491.28,1
"Kitenge wall hanging","Shopping","Home Decor & Furnishings","Kisumu West End Mall",53.09,1
"Weekend nduthi hire","Travel & Vacation","Car Rentals","Safari Trails Limited",872.17,1
"Gel polish change","Personal Care & Grooming","Manicure & Pedicure","Glamour House Kenya",677.66,1
"Acrylics refill","Personal Care & Grooming","Manicure & Pedicure","Sheth Naturals",446.74,1
"Tooth extraction","Health & Fitness","Dental Care","St. Mary's Mission Hospital",462.72,1
"KCPE registration","Education & Learning","Test Preparation & Exams Fees","The Jitu",207.05,1
"Kitenge tailor","Shopping","Clothing & Accessories","Buffalo Mall Naivasha",372.24,1
"Drinks pale","Food & Dining","Bars & Nightclubs","Graze Steakhouse",977.36,1
"Chips funga","Business & Work Expenses","Client Meals & Entertainment","Ikigai Nairobi",261.11,1
"Kids after school","Childcare & Parenting","Babysitting & Nanny Services","Breastfeeding & Nursing Supplies Kenya",323.92,1
"Dog food refill","Pets & Animal Care","Pet Toys & Accessories","Rabbit Breeders Kenya",197.65,1
"Back pain clinic","Health & Fitness","Physical Therapy","Moi Teaching and Referral Hospital",666.28,1
"Shifting mabati","Housing & Home Expenses","Moving & Relocation","Arrow Pest Control and Fumigation Company",849.6,1
"Co-op shares","Income & Earnings","Investment Income","Gifts Received",395.51,1
"Project Management Exam","Education & Learning","Professional Certifications","Moran Publishers",668.02,1
"M-PESA reversal","Financial Expenses","Bank Fees","Faulu Microfinance Bank",916.73,1
"Showmax monthly","Utilities","Cable & Streaming Services","Jamii Telecommunications Limited (JTL)",335.94,1
"Uber to town","Transportation","Taxi & Ride-sharing","Aseo Ltd.",597.05,1
"Zawadi ya Harusi","Gifts & Donations","Wedding & Birthday Gifts","Cross Catholic Outreach Kenya",370.84,1
"Watoto support","Gifts & Donations","Charitable Donations","Wings of Mercy Kenya",103.57,1
"Vitamins D3","Health & Fitness","Supplements & Vitamins","Ruai Family Hospital",221.77,1
"Eldoret return","Travel & Vacation","Flights","Jamii Tours & Travel Ltd",417.76,1
"Mahakama Levy","Legal & Professional Services","Court Fees","Coulson Harney Advocates",309.47,1
